"feature","coefficient","p_value"
"2775",-0.80952380952381,0.0217757936507936
"2777",-0.642857142857143,0.0961805555555556
"2778",-0.0238095238095238,0.976785714285714
"2779",-0.577350269189626,0.133974596215561
"2781",0.412393049421161,0.309958735506241
"2782",0.19047619047619,0.664583333333333
"2783",0.0952380952380952,0.840128968253968
"2784",-0.142857142857143,0.75203373015873
"2785",0.142857142857143,0.75203373015873
"2786",0.266356801951717,0.523699417576859
"2787",-0.0238095238095238,0.976785714285714
"2788",0,1
"2789",0.19047619047619,0.664583333333333
"2790",-0.119047619047619,0.793005952380952
"2791",-0.19047619047619,0.664583333333333
"2792",0.333333333333333,0.427876984126984
"2793",-0.333333333333333,0.427876984126984
"2794",0.19047619047619,0.664583333333333
"2795",0.428571428571429,0.299206349206349
"2796",0.380952380952381,0.359871031746032
"2797",0.452380952380952,0.267460317460317
"2802",-0.19047619047619,0.664583333333333
"2804",0.142857142857143,0.75203373015873
"2805",0.5,0.216170634920635
"2806",0.5,0.216170634920635
"2807",0.523809523809524,0.196626984126984
"2808",0.523809523809524,0.196626984126984
"2810",0.523809523809524,0.196626984126984
"2811",0.0238095238095238,0.976785714285714
"2812",0.214285714285714,0.619097222222222
"2813",0.412393049421161,0.309958735506241
"2817",0.412393049421161,0.309958735506241
"2818",0.514370741270553,0.192165912271177
"2819",0.412393049421161,0.309958735506241
"2820",-0.0311739843194275,0.941586637631995
"2821",0.412393049421161,0.309958735506241
"2822",0.412393049421161,0.309958735506241
"2823",0.0238095238095238,0.976785714285714
"2824",-0.0476190476190476,0.934871031746032
"2826",0.412393049421161,0.309958735506241
"2827",0.412393049421161,0.309958735506241
"2828",0.119047619047619,0.793005952380952
"2829",0,1
"2830",0,1
"2831",0,1
"2833",0.80952380952381,0.0217757936507936
"2836",0.311382828097447,0.452798757426337
"2837",-0.428571428571429,0.299206349206349
"2839",-0.142857142857143,0.75203373015873
"2841",0.142857142857143,0.75203373015873
"2842",-0.0311739843194275,0.941586637631995
"2843",0.191620201906121,0.649410201122453
"2850",-0.166666666666667,0.703323412698413
"2851",0.214285714285714,0.619097222222222
"2853",0.428571428571429,0.299206349206349
"2854",0.5,0.216170634920635
"2855",0.0238095238095238,0.976785714285714
"2856",0.404761904761905,0.326835317460317
"2857",-0.19047619047619,0.664583333333333
"2858",0.690476190476191,0.0693948412698413
"2859",0.523809523809524,0.196626984126984
"2860",0.412393049421161,0.309958735506241
"2862",-0.0952380952380952,0.840128968253968
"2863",-0.0952380952380952,0.840128968253968
"2864",0.261904761904762,0.53640873015873
"2865",0.714285714285714,0.0575892857142857
"2866",0.214285714285714,0.619097222222222
"2867",0,1
"2868",0.412393049421161,0.309958735506241
"2869",0.19047619047619,0.664583333333333
"2870",0.412393049421161,0.309958735506241
"2871",0,1
"2872",-0.0476190476190476,0.934871031746032
"2874",-0.285714285714286,0.500793650793651
"2875",-0.30004959907449,0.470261740655634
"2876",-0.202938515772736,0.629808489737719
"2877",-0.592305702069122,0.121834513627698
"2878",-0.30004959907449,0.470261740655634
"2879",0.333333333333333,0.427876984126984
"2882",0.166666666666667,0.703323412698413
"2883",0.347311615954845,0.399263874203282
"2884",0.0238095238095238,0.976785714285714
"2886",0.412393049421161,0.309958735506241
"2888",0.238095238095238,0.582142857142857
"2889",0.412393049421161,0.309958735506241
"2890",0.166666666666667,0.703323412698413
"2891",0.0476190476190476,0.934871031746032
"2892",0.412393049421161,0.309958735506241
"2893",0.0952380952380952,0.840128968253968
"2894",-0.428571428571429,0.299206349206349
"2895",-0.142857142857143,0.75203373015873
"2896",0.412393049421161,0.309958735506241
"2897",-0.119047619047619,0.793005952380952
"2898",-0.119047619047619,0.793005952380952
"2899",-0.30952380952381,0.461805555555556
"2901",0.285714285714286,0.500793650793651
"2903",-0.654653670707977,0.0781407494112156
"2905",0.19047619047619,0.664583333333333
"2906",-0.291724116423309,0.48325820802848
"2907",0.238095238095238,0.582142857142857
"2908",0,1
"2910",-0.109108945117996,0.797038574188192
"2912",0.261904761904762,0.53640873015873
"2914",0.238095238095238,0.582142857142857
"2916",0.0952380952380952,0.840128968253968
"2918",0.523809523809524,0.196626984126984
"2919",0.412393049421161,0.309958735506241
"2920",-0.0311739843194275,0.941586637631995
"2921",0.0238095238095238,0.976785714285714
"2922",-0.0311739843194275,0.941586637631995
"2923",0.380952380952381,0.359871031746032
"2924",0.166666666666667,0.703323412698413
"2925",0.0714285714285714,0.881994047619048
"2926",0.380952380952381,0.359871031746032
"2928",0.268372520060847,0.520440977682338
"2932",0.412393049421161,0.309958735506241
"2933",0.452380952380952,0.267460317460317
"2934",0.523809523809524,0.196626984126984
"2936",0.666666666666667,0.0830853174603175
"2937",0.30952380952381,0.461805555555556
"2938",0.595238095238095,0.132291666666667
"2939",0.452380952380952,0.267460317460317
"2940",0.428571428571429,0.299206349206349
"2941",0.619047619047619,0.114980158730159
"2942",0.412393049421161,0.309958735506241
"2943",0.0476190476190476,0.934871031746032
"2946",0.571428571428572,0.151140873015873
"2947",0.380952380952381,0.359871031746032
"2949",0.523809523809524,0.196626984126984
"2950",0.690476190476191,0.0693948412698413
"2952",0.571428571428572,0.151140873015873
"2955",0.571428571428572,0.151140873015873
"2956",0.547619047619048,0.170982142857143
"2957",0.690476190476191,0.0693948412698413
"2958",0.571428571428572,0.151140873015873
"2959",0.571428571428572,0.151140873015873
"2961",0.571428571428572,0.151140873015873
"2963",0.523809523809524,0.196626984126984
"2964",0.595238095238095,0.132291666666667
"2965",0.359287878573978,0.382064677364986
"2966",NA,NA
"2968",0,1
"2969",0.19047619047619,0.664583333333333
"2970",-0.43915503282684,0.276326840133746
"2972",-0.0714285714285714,0.881994047619048
"2973",0.30952380952381,0.461805555555556
"2974",-0.109108945117996,0.797038574188192
"2977",0.333333333333333,0.427876984126984
"2981",-0.547619047619048,0.170982142857143
"2982",-0.571428571428572,0.151140873015873
"2983",-0.5,0.216170634920635
"2984",-0.714285714285714,0.0575892857142857
"2985",-0.595238095238095,0.132291666666667
"2986",-0.5,0.216170634920635
"2987",-0.619047619047619,0.114980158730159
"2989",-0.666666666666667,0.0830853174603175
"2990",-0.571428571428572,0.151140873015873
"2991",-0.666666666666667,0.0830853174603175
"2992",0.404761904761905,0.326835317460317
"2993",-0.619047619047619,0.114980158730159
"2995",-0.571428571428572,0.151140873015873
"2996",-0.404761904761905,0.326835317460317
"2997",-0.642857142857143,0.0961805555555556
"2998",-0.738095238095238,0.0458333333333333
"3003",0.412393049421161,0.309958735506241
"3015",0.239525252382652,0.567772152259293
"3021",0.238095238095238,0.582142857142857
"3022",0.333333333333333,0.427876984126984
"3023",0.526955555241834,0.179628967156927
"3024",0.428571428571429,0.299206349206349
"3026",0.166666666666667,0.703323412698413
"3027",0.333333333333333,0.427876984126984
"3028",0.0238095238095238,0.976785714285714
"3029",0.238095238095238,0.582142857142857
"3030",-0.0952380952380952,0.840128968253968
"3031",0.19047619047619,0.664583333333333
"3032",0.333333333333333,0.427876984126984
"3034",0.285714285714286,0.500793650793651
"3035",0.119047619047619,0.793005952380952
"3036",0.333333333333333,0.427876984126984
"3040",0.119047619047619,0.793005952380952
"3044",0.142857142857143,0.75203373015873
"3049",0.238095238095238,0.582142857142857
"3050",0.285714285714286,0.500793650793651
"3051",0.19047619047619,0.664583333333333
"3052",0.285714285714286,0.500793650793651
"3053",0.285714285714286,0.500793650793651
"3054",0.285714285714286,0.500793650793651
"3055",0.285714285714286,0.500793650793651
"3056",0.285714285714286,0.500793650793651
"3057",0.119047619047619,0.793005952380952
"3058",0.428571428571429,0.299206349206349
"3059",0.285714285714286,0.500793650793651
"3060",0.285714285714286,0.500793650793651
"3062",0.380952380952381,0.359871031746032
"3063",0.238095238095238,0.582142857142857
"3064",0.166666666666667,0.703323412698413
"3065",0.285714285714286,0.500793650793651
"3067",0.285714285714286,0.500793650793651
"3068",0.285714285714286,0.500793650793651
"3070",0.261904761904762,0.53640873015873
"3071",-0.166666666666667,0.703323412698413
"3072",-0.0714285714285714,0.881994047619048
"3074",0.412393049421161,0.309958735506241
"3075",NA,NA
"3076",0.238095238095238,0.582142857142857
"3077",0.214285714285714,0.619097222222222
"3078",-0.0714285714285714,0.881994047619048
"3079",0.214285714285714,0.619097222222222
"3080",-0.0238095238095238,0.976785714285714
"3081",0.333333333333333,0.427876984126984
"3083",0.0952380952380952,0.840128968253968
"3085",-0.19025485853694,0.651786959880265
"3086",0.412393049421161,0.309958735506241
"3087",0.238095238095238,0.582142857142857
"3088",0.0714285714285714,0.881994047619048
"3089",-0.0311739843194275,0.941586637631995
"3090",0.412393049421161,0.309958735506241
"3092",0.285714285714286,0.500793650793651
"3093",0.412393049421161,0.309958735506241
"3094",-0.412393049421161,0.309958735506241
"3095",-0.142857142857143,0.75203373015873
"3096",0.0476190476190476,0.934871031746032
"3099",-0.285714285714286,0.500793650793651
"3100",-0.166666666666667,0.703323412698413
"3101",0.0952380952380952,0.840128968253968
"3102",-0.30952380952381,0.461805555555556
"3103",-0.285714285714286,0.500793650793651
"3104",-0.285714285714286,0.500793650793651
"3105",-0.214285714285714,0.619097222222222
"3106",0.412393049421161,0.309958735506241
"3107",-0.0714285714285714,0.881994047619048
"3108",-0.0479050504765304,0.910315357004167
"3109",0.238095238095238,0.582142857142857
"3110",-0.0952380952380952,0.840128968253968
"3111",0.238095238095238,0.582142857142857
"3113",0.214285714285714,0.619097222222222
"3116",-0.285714285714286,0.500793650793651
"3117",-0.0714285714285714,0.881994047619048
"3119",0.142857142857143,0.75203373015873
"3120",0.0238095238095238,0.976785714285714
"3121",0.0476190476190476,0.934871031746032
"3123",-0.0952380952380952,0.840128968253968
"3124",0.0476190476190476,0.934871031746032
"3127",0.0476190476190476,0.934871031746032
"3128",0.228305830244328,0.586569103327526
"3129",0.523809523809524,0.196626984126984
"3130",0.0952380952380952,0.840128968253968
"3132",0.714285714285714,0.0575892857142857
"3133",0.238095238095238,0.582142857142857
"3134",0.412393049421161,0.309958735506241
"3135",0.380952380952381,0.359871031746032
"3136",-0.07319250547114,0.863253392920131
"3138",0.187043905916565,0.657386587319591
"3139",0.0238095238095238,0.976785714285714
"3140",0.412393049421161,0.309958735506241
"3141",-0.311382828097447,0.452798757426337
"3142",-0.592305702069122,0.121834513627698
"3144",0.238095238095238,0.582142857142857
"3150",0.238095238095238,0.582142857142857
"3151",-0.19047619047619,0.664583333333333
"3152",-0.214285714285714,0.619097222222222
"3153",-0.285714285714286,0.500793650793651
"3154",-0.238095238095238,0.582142857142857
"3155",-0.19047619047619,0.664583333333333
"3156",-0.285714285714286,0.500793650793651
"3157",-0.19047619047619,0.664583333333333
"3158",-0.166666666666667,0.703323412698413
"3159",0.214285714285714,0.619097222222222
"3161",-0.166666666666667,0.703323412698413
"3162",-0.0476190476190476,0.934871031746032
"3165",0.0714285714285714,0.881994047619048
"3166",-0.119047619047619,0.793005952380952
"3167",-0.0952380952380952,0.840128968253968
"3168",0.412393049421161,0.309958735506241
"3169",0.412393049421161,0.309958735506241
"3170",0.412393049421161,0.309958735506241
"3171",0.412393049421161,0.309958735506241
"3172",0.412393049421161,0.309958735506241
"3173",-0.119047619047619,0.793005952380952
"3174",-0.0714285714285714,0.881994047619048
"3175",-0.214285714285714,0.619097222222222
"3177",-0.30952380952381,0.461805555555556
"3178",0.30952380952381,0.461805555555556
"3179",0.214285714285714,0.619097222222222
"3180",0.119047619047619,0.793005952380952
"3181",-0.163663417676994,0.698566859664124
"3182",0.19047619047619,0.664583333333333
"3186",0.357142857142857,0.389384920634921
"3190",0.238095238095238,0.582142857142857
"3193",-0.142857142857143,0.75203373015873
"3194",-0.285714285714286,0.500793650793651
"3195",-0.238095238095238,0.582142857142857
"3196",-0.214285714285714,0.619097222222222
"3197",-0.119047619047619,0.793005952380952
"3198",0.0952380952380952,0.840128968253968
"3199",-0.214285714285714,0.619097222222222
"3200",0.0238095238095238,0.976785714285714
"3201",-0.214285714285714,0.619097222222222
"3203",0.0238095238095238,0.976785714285714
"3204",0.0238095238095238,0.976785714285714
"3205",-0.142857142857143,0.75203373015873
