"","Feature","Comp1_Loading","Comp2_Loading"
"x323","342.08732_1.0285",-4.24918182186851e-05,7.14297091740576e-05
"x324","247.92577_1.0318",6.46027670786996e-05,-0.000140176326675914
"x325","198.07683_1.0317",0.000174969718171663,-0.000212195733087667
"x326","309.11869_0.9912",0.0135680160937858,-0.0161232167634042
"x327","341.1447_1.0344",0.000125227092711762,-4.56619084259179e-05
"x328","480.12872_1.0331",0.000340891272133493,-0.000679027123633265
"x329","137.02408_0.8194",0.00042044604806816,-0.000277045855739664
"x330","299.07675_1.0392",0.000656323022117548,-0.000176233000905187
"x331","354.0608_1.0409",-0.000905018134646449,0.00442578679080551
"x332","318.08262_1.0477",0.00102101191537396,-0.00123819919585216
"x333","203.01956_1.067",-2.80224586431913e-05,-2.42397948222717e-05
"x334","338.08779_1.0723",0.000755650218773431,-0.000700271466964219
"x335","210.0074_1.0723",7.96558915160042e-05,0.000118314691704042
"x336","401.04589_1.087",0.000220933275203125,2.78136231957908e-05
"x337","431.9754_1.087",0.000547786747153855,0.000347912510617234
"x338","432.9834_1.0876",0.000152562830442422,8.39346121299081e-05
"x339","335.06318_1.0883",0.000304064978365168,-0.000196432325234259
"x340","333.05881_1.0883",0.0132911179863891,-0.00856018769405239
"x341","322.09279_1.0942",0.000703444452697496,-0.000308544759852326
"x342","273.03769_1.1002",0.000932476037826362,-0.000982720486233695
"x343","147.06597_1.1099",0.000246637540019328,0.000176735555357189
"x344","215.93619_1.0096",5.78556834975079e-05,-0.000247754084365423
"x345","303.9519_0.8433",0.000454621112419068,-0.00138603314935088
"x346","252.99611_1.1335",0.0091826698984491,-0.0399849966273087
"x347","343.95969_1.1278",0.000448295636684566,0.00101784847340976
"x348","259.02177_1.1283",-0.0104386246351103,0.0029986057675707
"x349","317.05422_1.1284",0.00148003258820501,-0.000641464930741662
"x350","245.04265_1.1303",0.0381024708739386,-0.0411921010534439
"x351","417.94709_1.1316",0.00399121413891932,-0.00998200326138633
"x352","214.9285_1.1309",0.00932801205347585,-0.0186748443073464
"x353","445.94189_1.1309",0.00305899070929148,-0.00782510820480826
"x354","301.93638_1.1309",0.000368321820091997,-0.00203442368426631
"x355","313.93676_1.1315",0.00206606796027824,-0.00656075256867091
"x356","218.10291_1.1315",0.00227704142434856,-0.00224209620410068
"x357","368.99434_1.1328",0.000929148423415282,-0.002382832657429
"x358","228.98359_1.1298",-0.000196369408118942,-9.9543340431046e-05
"x359","199.9809_1.131",-0.000488677312585448,-0.000251429890057034
