feature,log2FC,padj,Expression
179.05564_0.6564,0.8798800792180821,1.3175985149253787e-4,Not significant
215.03231_0.6564,1.2050218605514447,0.0019084748626775128,Up-regulated
113.0242_0.6571,1.1576012912972922,1.5651162341562543e-4,Up-regulated
101.02417_0.6576,0.9063334766909233,7.827619668711369e-5,Not significant
412.03015_0.6586,1.7859288919268737,0.0014064672606043402,Up-regulated
440.02508_0.6607,-0.14500308981602245,0.3315245828979301,Not significant
242.07891_0.6798,0.1243632417176736,0.7599781383670527,Not significant
308.09804_0.6712,1.5667102892440938,4.813471141111829e-4,Up-regulated
297.1185_0.6647,0.11971295030810727,0.20801908820560772,Not significant
367.10454_0.6647,1.4087798274628485,0.003150778806063461,Up-regulated
277.97247_0.6658,0.5797642875529753,0.003427166049018811,Not significant
228.03599_0.6391,2.3643198640492984,0.030108043767439637,Up-regulated
261.97803_0.6671,1.6237320967784081,0.008166025248205977,Up-regulated
515.12446_0.6798,0.013684513871519552,0.9330126984788889,Not significant
167.02062_0.6798,0.1788182388490605,0.3649550160023926,Not significant
195.05053_0.6829,0.2949855824637915,0.037470299088974056,Not significant
175.02436_0.687,-0.25244312868549407,0.19634236750288545,Not significant
149.04512_0.6876,0.005622833180505574,0.9607127118604127,Not significant
209.06623_0.6876,0.15605657219212457,0.12585685885714282,Not significant
267.07173_0.8085,0.12142283875244587,0.27731359316808313,Not significant
191.01935_0.6994,-0.12088065282034047,0.7940784443786816,Not significant
145.01392_0.6887,0.009434013334689666,0.918522928678668,Not significant
129.01909_0.6888,-0.09323061636495486,0.43382261509428244,Not significant
165.04002_0.6888,0.08475179517719605,0.5133873850767438,Not significant
135.02961_0.6888,0.015510992298749183,0.9218001783507189,Not significant
219.01417_0.6899,-0.08039615116953731,0.3724419606009371,Not significant
133.01394_0.8668,1.19686272882344,2.3123111079838924e-4,Up-regulated
254.01493_0.7102,-0.09658394977996296,0.7439607423119121,Not significant
183.01547_0.6895,0.425975180789198,0.1664147435116042,Not significant
173.04505_0.6888,0.645173825309837,5.591678682937381e-4,Not significant
173.00869_0.6923,-0.2649439499364379,0.032515453523281605,Not significant
228.99296_0.6922,-0.32859656393014913,0.04909456536880159,Not significant
226.99604_0.6911,-0.4270080678423813,0.017591840958803867,Not significant
203.00446_0.6922,0.3264594448382932,0.1755577786433216,Not significant
435.95743_0.6911,-0.7756827330152006,0.011626419079339853,Not significant
205.03491_0.6929,0.06013631070642813,0.563500571962886,Not significant
290.94485_0.6888,-0.046537675206711183,0.87744071067343,Not significant
163.0245_0.7313,-0.6703322230036821,0.19161719735533042,Not significant
368.00414_0.6964,1.67964350731425,0.02903495898939173,Up-regulated
