Feature,Comp1_Loading,Comp2_Loading
305.93112_1.136,9.560688849303325e-5,-0.0025620282074993884
289.03249_1.1391,-1.4942083310999214e-4,0.001078671935472472
182.99063_1.1368,-0.0013493761632596595,-2.709845915669937e-4
311.89709_1.1392,6.4898431320703e-5,-2.672694205837823e-4
241.01151_1.1488,0.0037796224077336353,-0.0035090950442810405
129.0191_0.9357,0.0019706869392895044,-0.0014325034362221473
110.98504_1.1649,1.8342508249554574e-4,5.905266193338734e-4
173.05787_1.1602,2.8110237239349135e-4,0.001169164883436979
185.02156_1.1762,0.03027134477763862,-0.02886888135189051
275.84455_1.1713,0.004429701900066477,-0.010433853385383636
277.84159_1.1713,0.003942294625258408,-0.009996478841319802
288.07183_1.1775,0.0010822031834556121,-0.0019217548957512892
285.87335_1.1781,8.582655068396041e-4,-0.0029629190984933615
323.02798_1.1905,0.002006678418122694,-0.0013235030955779633
270.0378_1.2036,4.0028456063857646e-4,0.0014867564266324552
334.89946_1.1974,-0.0012495924602724205,0.004463886549923581
174.8389_1.2036,-0.0019514882586248103,-0.0033549871949974455
172.84188_1.203,-0.0019020207978974035,-0.003285695256686502
172.0611_1.2036,0.051600131118712284,0.2582437138799032
260.02491_1.1504,-1.559130997125715e-4,1.0308578244044065e-4
281.96108_1.2042,-4.455846772940643e-4,9.813560057452843e-4
154.89813_1.2006,-0.0012324614927666177,-0.0012848817297375715
439.6832_1.2005,-0.0010424094961543338,-0.0034166669657463506
176.83599_1.1981,-3.6518719326680767e-4,-6.787148962298629e-4
230.01948_1.2055,1.4110904759938442e-4,0.006653545644126805
174.06481_1.2061,4.4834686633408457e-4,0.0019256965694647444
344.92806_1.2073,2.285837512433138e-4,0.0018221218188118702
171.98795_1.2061,2.0769808025426572e-4,0.001021913484675403
232.01679_1.2018,6.933801904866462e-4,-7.821095868980011e-4
441.68016_1.2023,-8.186621576951583e-4,-0.0025624983195327656
443.6772_1.2042,-4.424656960354165e-4,-0.0018218568177864752
