ID1,ID2,EdgeType,Score,Annotation
3770,10129,DreaMS,0.250,score=0.250
5865,13838,DreaMS,0.155,score=0.155
1542,13826,DreaMS,0.127,score=0.127
424,3196,DreaMS,0.216,score=0.216
5375,12748,DreaMS,0.187,score=0.187
2066,4745,DreaMS,0.099,score=0.099
2595,3961,DreaMS,0.303,score=0.303
2393,5862,DreaMS,0.050,score=0.050
331,2473,DreaMS,0.338,score=0.338
135,1484,DreaMS,0.369,score=0.369
2982,17733,DreaMS,0.345,score=0.345
1545,4534,DreaMS,0.272,score=0.272
1218,2216,DreaMS,0.124,score=0.124
352,5349,DreaMS,0.215,score=0.215
1747,4523,DreaMS,0.036,score=0.036
5667,11935,DreaMS,0.002,score=0.002
3587,6059,DreaMS,0.292,score=0.292
2959,2989,DreaMS,0.339,score=0.339
2066,5083,DreaMS,0.100,score=0.100
1543,4536,DreaMS,0.159,score=0.159
8131,15719,DreaMS,0.454,score=0.454
2473,5861,DreaMS,0.149,score=0.149
1098,4047,DreaMS,0.220,score=0.220
1621,11720,DreaMS,0.168,score=0.168
3663,13954,DreaMS,0.081,score=0.081
1729,13294,DreaMS,0.244,score=0.244
5571,7391,DreaMS,0.132,score=0.132
1037,7391,DreaMS,0.120,score=0.120
1098,3276,DreaMS,0.148,score=0.148
135,1010,DreaMS,0.391,score=0.391
1195,3821,DreaMS,0.301,score=0.301
1375,4747,DreaMS,0.279,score=0.279
89,424,DreaMS,0.574,score=0.574
2988,15415,DreaMS,0.212,score=0.212
3636,11229,DreaMS,0.119,score=0.119
5420,5773,DreaMS,0.037,score=0.037
2982,2988,DreaMS,0.207,score=0.207
2216,5781,DreaMS,0.228,score=0.228
5497,15718,DreaMS,0.165,score=0.165
2217,4536,DreaMS,0.134,score=0.134
2947,4698,DreaMS,0.240,score=0.240
1627,16431,DreaMS,0.016,score=0.016
6032,10933,DreaMS,0.125,score=0.125
2473,3519,DreaMS,0.171,score=0.171
2516,5818,DreaMS,0.015,score=0.015
999,2473,DreaMS,0.431,score=0.431
3338,4901,DreaMS,0.382,score=0.382
1691,5937,DreaMS,0.226,score=0.226
1637,5038,DreaMS,0.138,score=0.138
3608,15719,DreaMS,0.147,score=0.147
2201,4048,DreaMS,0.217,score=0.217
2202,4047,DreaMS,0.112,score=0.112
2897,4415,DreaMS,0.227,score=0.227
5773,5924,DreaMS,0.275,score=0.275
2474,5781,DreaMS,0.109,score=0.109
2216,14594,DreaMS,0.098,score=0.098
1001,3663,DreaMS,0.294,score=0.294
4668,11619,DreaMS,0.216,score=0.216
3131,3907,DreaMS,0.193,score=0.193
2947,5861,DreaMS,0.217,score=0.217
5781,5916,DreaMS,0.609,score=0.609
692,5924,DreaMS,0.362,score=0.362
3770,3892,DreaMS,0.336,score=0.336
2200,5797,DreaMS,0.092,score=0.092
1098,15875,DreaMS,0.045,score=0.045
331,9985,DreaMS,0.164,score=0.164
3892,4901,DreaMS,0.106,score=0.106
1621,3821,DreaMS,0.133,score=0.133
5857,15937,DreaMS,0.209,score=0.209
1637,4442,DreaMS,0.043,score=0.043
1140,3876,DreaMS,0.270,score=0.270
89,11720,DreaMS,0.162,score=0.162
400,12141,DreaMS,0.083,score=0.083
89,4901,DreaMS,0.404,score=0.404
2699,3857,DreaMS,0.276,score=0.276
288,1331,DreaMS,0.118,score=0.118
5082,5497,DreaMS,0.315,score=0.315
2553,5781,DreaMS,0.198,score=0.198
5468,9607,DreaMS,0.016,score=0.016
5942,17086,DreaMS,0.115,score=0.115
394,1952,DreaMS,0.176,score=0.176
5572,11230,DreaMS,0.065,score=0.065
2520,3472,DreaMS,0.169,score=0.169
795,4623,DreaMS,0.275,score=0.275
140,1706,DreaMS,0.243,score=0.243
1695,4901,DreaMS,0.199,score=0.199
1075,3589,DreaMS,0.478,score=0.478
2587,4653,DreaMS,0.133,score=0.133
4801,4804,DreaMS,0.407,score=0.407
1883,3954,DreaMS,0.195,score=0.195
331,5551,DreaMS,0.154,score=0.154
1550,3892,DreaMS,0.161,score=0.161
997,11935,DreaMS,0.079,score=0.079
1130,15719,DreaMS,0.246,score=0.246
999,5497,DreaMS,0.317,score=0.317
1140,16425,DreaMS,0.129,score=0.129
1001,7489,DreaMS,0.098,score=0.098
2988,5393,DreaMS,0.271,score=0.271
1077,3587,DreaMS,0.347,score=0.347
1002,4066,DreaMS,0.222,score=0.222
2189,12764,DreaMS,0.076,score=0.076
1035,3629,DreaMS,0.276,score=0.276
2553,5983,DreaMS,0.155,score=0.155
14861,17170,DreaMS,0.046,score=0.046
4048,5067,DreaMS,0.424,score=0.424
2585,5670,DreaMS,0.276,score=0.276
2527,12764,DreaMS,0.081,score=0.081
2587,5668,DreaMS,0.337,score=0.337
2595,4645,DreaMS,0.271,score=0.271
3006,5375,DreaMS,0.256,score=0.256
1080,3857,DreaMS,0.366,score=0.366
288,2421,DreaMS,0.220,score=0.220
1747,3743,DreaMS,0.049,score=0.049
2474,5797,DreaMS,0.050,score=0.050
1691,4805,DreaMS,0.101,score=0.101
1550,15835,DreaMS,0.133,score=0.133
5610,8716,DreaMS,0.061,score=0.061
1883,15838,DreaMS,0.230,score=0.230
2527,3743,DreaMS,0.515,score=0.515
1695,4801,DreaMS,0.300,score=0.300
3175,5407,DreaMS,0.200,score=0.200
2498,5773,DreaMS,0.325,score=0.325
1002,3342,DreaMS,0.213,score=0.213
1042,5750,DreaMS,0.404,score=0.404
3332,16431,DreaMS,0.042,score=0.042
3663,5609,DreaMS,0.377,score=0.377
3338,16425,DreaMS,0.248,score=0.248
1474,11619,DreaMS,0.037,score=0.037
3683,4651,DreaMS,0.110,score=0.110
3634,5409,DreaMS,0.335,score=0.335
2958,5865,DreaMS,0.207,score=0.207
3636,5407,DreaMS,0.292,score=0.292
1331,5670,DreaMS,0.159,score=0.159
2516,4706,DreaMS,0.221,score=0.221
2066,2217,DreaMS,0.506,score=0.506
5010,13878,DreaMS,0.459,score=0.459
1720,3770,DreaMS,0.075,score=0.075
5924,13872,DreaMS,0.161,score=0.161
5803,14823,DreaMS,0.015,score=0.015
4666,12764,DreaMS,0.172,score=0.172
2521,5750,DreaMS,0.442,score=0.442
3629,5414,DreaMS,0.269,score=0.269
2850,3961,DreaMS,0.349,score=0.349
4873,4988,DreaMS,0.400,score=0.400
3892,6088,DreaMS,0.418,score=0.418
2988,3261,DreaMS,0.518,score=0.518
4745,4901,DreaMS,0.423,score=0.423
2999,3354,DreaMS,0.353,score=0.353
3472,3768,DreaMS,0.204,score=0.204
1622,4874,DreaMS,0.179,score=0.179
4184,5017,DreaMS,0.192,score=0.192
5818,12748,DreaMS,0.075,score=0.075
5513,13712,DreaMS,0.318,score=0.318
1817,2958,DreaMS,0.345,score=0.345
1747,3295,DreaMS,0.024,score=0.024
1344,5750,DreaMS,0.370,score=0.370
3332,5609,DreaMS,0.393,score=0.393
3974,15875,DreaMS,0.074,score=0.074
1375,2999,DreaMS,0.172,score=0.172
1042,2989,DreaMS,0.255,score=0.255
2989,3587,DreaMS,0.169,score=0.169
2184,5375,DreaMS,0.228,score=0.228
4901,5351,DreaMS,0.489,score=0.489
424,1195,DreaMS,0.501,score=0.501
1032,2999,DreaMS,0.283,score=0.283
2520,3317,DreaMS,0.150,score=0.150
2336,3743,DreaMS,0.173,score=0.173
3261,3295,DreaMS,0.454,score=0.454
